id,name,age,city,score
1,Person1,18,London,70
2,Person2,19,Paris,71
3,Person3,20,Tokyo,72
4,Person4,21,Berlin,73
5,Person5,22,Sydney,74
6,Person6,23,Toronto,75
7,Person7,24,Rome,76
8,Person8,25,Dubai,77
9,Person9,26,Seoul,78
10,Person10,27,Mumbai,79
11,Person11,28,London,80
12,Person12,29,Paris,81
13,Person13,30,Tokyo,82
14,Person14,31,Berlin,83
15,Person15,32,Sydney,84
16,Person16,33,Toronto,85
17,Person17,34,Rome,86
18,Person18,35,Dubai,87
19,Person19,36,Seoul,88
20,Person20,37,Mumbai,89
21,Person21,18,London,90
22,Person22,19,Paris,91
23,Person23,20,Tokyo,92
24,Person24,21,Berlin,93
25,Person25,22,Sydney,94
26,Person26,23,Toronto,95
27,Person27,24,Rome,96
28,Person28,25,Dubai,97
29,Person29,26,Seoul,98
30,Person30,27,Mumbai,99
31,Person31,28,London,70
32,Person32,29,Paris,71
33,Person33,30,Tokyo,72
34,Person34,31,Berlin,73
35,Person35,32,Sydney,74
36,Person36,33,Toronto,75
37,Person37,34,Rome,76
38,Person38,35,Dubai,77
39,Person39,36,Seoul,78
40,Person40,37,Mumbai,79
41,Person41,18,London,80
42,Person42,19,Paris,81
43,Person43,20,Tokyo,82
44,Person44,21,Berlin,83
45,Person45,22,Sydney,84
46,Person46,23,Toronto,85
47,Person47,24,Rome,86
48,Person48,25,Dubai,87
49,Person49,26,Seoul,88
50,Person50,27,Mumbai,89
51,Person51,28,London,90
52,Person52,29,Paris,91
53,Person53,30,Tokyo,92
54,Person54,31,Berlin,93
55,Person55,32,Sydney,94
56,Person56,33,Toronto,95
57,Person57,34,Rome,96
58,Person58,35,Dubai,97
59,Person59,36,Seoul,98
60,Person60,37,Mumbai,99
61,Person61,18,London,70
62,Person62,19,Paris,71
63,Person63,20,Tokyo,72
64,Person64,21,Berlin,73
65,Person65,22,Sydney,74
66,Person66,23,Toronto,75
67,Person67,24,Rome,76
68,Person68,25,Dubai,77
69,Person69,26,Seoul,78
70,Person70,27,Mumbai,79
71,Person71,28,London,80
72,Person72,29,Paris,81
73,Person73,30,Tokyo,82
74,Person74,31,Berlin,83
75,Person75,32,Sydney,84
76,Person76,33,Toronto,85
77,Person77,34,Rome,86
78,Person78,35,Dubai,87
79,Person79,36,Seoul,88
80,Person80,37,Mumbai,89
81,Person81,18,London,90
82,Person82,19,Paris,91
83,Person83,20,Tokyo,92
84,Person84,21,Berlin,93
85,Person85,22,Sydney,94
86,Person86,23,Toronto,95
87,Person87,24,Rome,96
88,Person88,25,Dubai,97
89,Person89,26,Seoul,98
90,Person90,27,Mumbai,99
91,Person91,28,London,70
92,Person92,29,Paris,71
93,Person93,30,Tokyo,72
94,Person94,31,Berlin,73
95,Person95,32,Sydney,74
96,Person96,33,Toronto,75
97,Person97,34,Rome,76
98,Person98,35,Dubai,77
99,Person99,36,Seoul,78
100,Person100,37,Mumbai,79
